Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight,Trendsetter_Choosing_Type,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,0.15,10,0.25,"[0, 0, 1]",by degree,0,5,5,0.1
100,0.15,10,0.3,"[0, 0, 1]",by degree,2,23,25,0.46
100,0.15,10,0.35,"[0, 0, 1]",by degree,2,32,34,0.64
100,0.15,10,0.4,"[0, 0, 1]",by degree,1,36,37,0.72
100,0.15,10,0.45,"[0, 0, 1]",by degree,2,37,39,0.74
100,0.15,10,0.25,"[0, 0, 1]",by closeness,1,11,12,0.22
100,0.15,10,0.3,"[0, 0, 1]",by closeness,2,31,33,0.62
100,0.15,10,0.35,"[0, 0, 1]",by closeness,3,24,27,0.48
100,0.15,10,0.4,"[0, 0, 1]",by closeness,1,32,33,0.64
100,0.15,10,0.45,"[0, 0, 1]",by closeness,4,34,38,0.68
